# Dowland Corpus — Period-Accurate Chord Voicings

*Source: 113 Poulton-numbered Dowland lute tablatures from lutemusic.org (CC BY-NC-SA 4.0)*
*Only chords with root + 3rd + 5th (+ 7th where applicable) are shown. Partial voicings excluded.*
*Voicings shown use the maximum number of strings found in the corpus.*
*Tab fingering: bass course on left → treble (course 1) on right. '-' = string not played.*
*Frets: same layout as Tab, but showing fret numbers (0 = open string).*
*Crs: total course slots in the fingering (6 = 6-course lute, 8 = 8-course lute).*

## Major

| Root | Str | Crs | Tab Fingering   | Frets           | Pitches                        | Appears In                                                                                                       |
| D#   | 3   | 8   | - - - - e e e - | - - - - 4 4 4 - | F#3, A#3, D#4                      | P.14 John Langtons Pavan                                                                                            |
| E    | 6   | 8   | - - a c c b a a | - - 0 2 2 1 0 0 | E2, B2, E3, G3, B3, E4             | P.08 Dowland Pipers Pavan; P.15 Lachrimae In G; P.26 Lachrimae Galliard In G; P.46 Galliard To Lachrimae 8C +5 more |
| E    | 5   | 8   | a c d - - a a - | 0 2 3 - - 0 0 - | B1, E2, G2, F#3, B3                | King Of Denmarks Galliard                                                                                           |
| F#   | 6   | 8   | - - c e e d c c | - - 2 4 4 3 2 2 | F#2, C#3, F#3, A3, C#4, F#4        | P.36 Mr Knights Galliard; P.53 Mrs Cliftons Almain                                                                  |
| G    | 4   | 8   | - - d - - e d d | - - 3 - - 4 3 3 | G2, A#3, D4, G4                    | P.25 Melancholy Galliard; P.27 Galliard; P.38 Lord Viscount Lisles Galliard                                         |
| G    | 4   | 8   | - - d - f - d g | - - 3 - 5 - 3 6 | G2, G3, D4, A#4                    | P.38 Lord Viscount Lisles Galliard; P.76 A Galliard; P.82 Galliard; P.97 Queens Galliard                            |
| G    | 4   | 8   | - - d - f e d - | - - 3 - 5 4 3 - | G2, G3, A#3, D4                    | P.38 Lord Viscount Lisles Galliard                                                                                  |
| G#   | 6   | 8   | - - e g g f e e | - - 4 6 6 5 4 4 | G#2, D#3, G#3, B3, D#4, G#4        | P.34 Mignarda Galliard                                                                                              |
| G#   | 4   | 8   | - a - - b - a e | - 0 - - 1 - 0 4 | D2, D#3, B3, G#4                   | P.01 A Fancy; P.74 A Fancy                                                                                          |
| A    | 6   | 8   | - - f h h g f f | - - 5 7 7 6 5 5 | A2, E3, A3, C4, E4, A4             | P.38 Lord Viscount Lisles Galliard                                                                                  |
| A#   | 4   | 8   | - - - b - e c b | - - - 1 - 4 2 1 | A#2, A#3, C#4, F4                  | P.02 Forlorne Hope 8C                                                                                               |
| B    | 8   | 8   | c a c c a a c h | 2 0 2 2 0 0 2 7 | C#2, D2, F#2, B2, D3, F#3, C#4, B4 | King Of Denmarks Galliard                                                                                           |
| B    | 5   | 8   | - - - c a a a c | - - - 2 0 0 0 2 | B2, D3, F#3, B3, F#4               | P.21 Candishs Galliard                                                                                              |
| B    | 5   | 8   | - - - c e f d c | - - - 2 4 5 3 2 | B2, F#3, B3, D4, F#4               | P.02 Forlorne Hope 8C; P.08 Dowland Pipers Pavan; P.19 Piper Galliard; P.19 Piper Galliard P +1 more                |
| B    | 5   | 8   | - - c e - f d c | - - 2 4 - 5 3 2 | F#2, C#3, B3, D4, F#4              | P.72 A Fancy                                                                                                        |

## Dominant 7th

| Root | Str | Crs | Tab Fingering   | Frets           | Pitches                  | Appears In                |
|------|-----|-----|-----------------|-----------------|--------------------------|---------------------------|
| E    | 6   | 8   | f - a c f a - g | 5 - 0 2 5 0 - 6 | E2, E2, B2, G3, F#3, A#4 | King Of Denmarks Galliard |
| A    | 6   | 8   | d - - a c d c a | 3 - - 0 2 3 2 0 | D2, A2, E3, A3, C#4, E4  | King Of Denmarks Galliard |

## Minor 7th

